分類,分類.1,分野,学習内容,学習内容の到達目標,到達レベル,授業週
基礎的能力,人文社会科学,英語,英語,聞き手に正しく伝わるよう、語・句・文における強勢、文におけるリズム・イントネーション、音のつながり・区切りを意識しながら明瞭に音読あるいは発話できる。,2,"前1,前3,前5,前8,前11,前13"
基礎的能力,人文社会科学,英語,英語,中学校までに学習した語彙の定着を図り、高等学校指導要領に準じた新出語彙、及び専門教育に必要となる語彙を習得して適切に運用できる。,3,"前1,前3,前5,前8,前11,前13"
基礎的能力,人文社会科学,英語,英語,中学校までに学習した文構造及び文法事項に加え、高等学校学習指導要領に準じた文構造及び文法事項について習得して適切に運用できる。,3,"前1,前2,前3,前4,前5,前6,前7,前8,前9,前10,前11,前12,前13,前14"
基礎的能力,人文社会科学,英語,英語,日常的な話題や社会的な話題について、はっきりとした発音で、調整された速さで話された内容から、必要な情報を聞き取り、話し手の意図を把握できる。,2,
基礎的能力,人文社会科学,英語,英語,日常的な話題や社会的な話題について、基本的な表現を用いて、情報や考え、気持ちなどを話すことができる。,2,
基礎的能力,人文社会科学,英語,英語,日常的な話題や社会的な話題について平易な英語で書かれた文章を読み、その概要を把握して必要な情報を読み取り、書き手の意図、概要や要点を把握できる。,3,
基礎的能力,人文社会科学,英語,英語,母国以外の言語や文化を理解しようとする姿勢を持ち、実際の場面で積極的にコミュニケーションを図ることができる。,2,
基礎的能力,人文社会科学,英語,英語,実際の場面や目的に応じて、基本的なコミュニケーション方略（ジェスチャー、アイコンタクト）を適切に用いることができる。,3,
基礎的能力,人文社会科学,英語,英語,母国以外の言語や文化を理解しようとする姿勢をもち、教室内外で英語で円滑なコミュニケーションをとることができる。,2,
