0,1,2,3
,理想的な到達レベルの目安,標準的な到達レベルの目安,未到達レベルの目安
評価項目1：リスニング,日常生活の身近な話題についての平易な英語を聞き、発話の意図などを正確に理解することができる。,日常生活の身近な話題についての平易な英語を聞き、情報や考えなどをほぼ理解することができる。,日常生活の身近な話題についての平易な英語を聞き、情報や考えなどを理解することができない。
評価項目2：アウトプット,単語の発音やアクセントや英文のイントネーションなどを正確に理解し、音読することができる。,単語の発音やアクセントや英文のイントネーションなどを正確に理解し、ほぼ音読することができる。,単語の発音や強勢、センテンスのイントネーションなどを理解できず、音読することもできない。
評価項目3：語彙,英語によるコミュニケーションに必要な基本的な語彙を正確に身につけ、運用することができる。,英語によるコミュニケーションに必要な基本的な語彙が、ほぼ身についている。,英語によるコミュニケーションに必要な基本的な語彙が、身についていない。
