0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,担当教員,履修上の区分
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,1年,1年,1年,1年,2年,2年,2年,2年,3年,3年,3年,3年,4年,4年,4年,4年,5年,5年,5年,5年,担当教員,履修上の区分
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,前,前,後,後,前,前,後,後,前,前,後,後,前,前,後,後,前,前,後,後,担当教員,履修上の区分
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,担当教員,履修上の区分
一般,必修,微分積分IA  微分積分IA,g0400,履修単位,2,,,,,4,4,,,,,,,,,,,,,,,関口 昌由,
一般,必修,微分積分IB  微分積分IB,g0410,履修単位,2,,,,,,,4,4,,,,,,,,,,,,,関口 昌由,
一般,必修,物理学IIA  物理学IIA,g0470,履修単位,1,,,,,2,2,,,,,,,,,,,,,,,嘉数 祐子,
一般,必修,物理学IIB  物理学IIB,g0480,履修単位,1,,,,,,,2,2,,,,,,,,,,,,,嘉数 祐子,
一般,必修,化学IA  化学IA,g0540,履修単位,1,,,,,2,2,,,,,,,,,,,,,,,佐久間 美紀,
一般,必修,化学IB  化学IB,g0550,履修単位,1,,,,,,,2,2,,,,,,,,,,,,,佐久間 美紀,
一般,選択,日本文化論  日本文化論,g0810,履修単位,1,,,,,集中講義,集中講義,集中講義,集中講義,,,,,,,,,,,,,"加藤 達彦,田嶋 彩香",
専門,必修,プログラミング技法I  プログラミング技法I,d0040,履修単位,1,,,,,2,2,,,,,,,,,,,,,,,関口 明生,
専門,必修,プログラミング技法II  プログラミング技法II,d0050,履修単位,1,,,,,,,2,2,,,,,,,,,,,,,関口 明生,
専門,必修,製図I  製図I,d0060,履修単位,1,,,,,2,2,,,,,,,,,,,,,,,君塚 進,
専門,必修,製図II  製図II,d0070,履修単位,1,,,,,,,2,2,,,,,,,,,,,,,君塚 進,
専門,必修,電磁気学I  電磁気学I,d0170,履修単位,1,,,,,,,2,2,,,,,,,,,,,,,泉 源,
専門,必修,電気回路I  電気回路I,d0200,履修単位,1,,,,,2,2,,,,,,,,,,,,,,,坂元 周作,
専門,必修,電子計算機II  電子計算機II,d0290,履修単位,1,,,,,2,2,,,,,,,,,,,,,,,沢口 義人,
専門,必修,電子計算機III  電子計算機III,d0320,履修単位,1,,,,,,,2,2,,,,,,,,,,,,,沢口 義人,
専門,必修,実験実習I  実験実習I,d0440,履修単位,1,,,,,2,2,,,,,,,,,,,,,,,君塚 進,
専門,必修,実験実習II  実験実習II,d0450,履修単位,1,,,,,,,2,2,,,,,,,,,,,,,"泉 源,臼井 邦人,奥山 彫夢",
一般,必修（留学生）,日本事情IIA  日本事情IIA,d0710,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,坂元 周作,
一般,必修（留学生）,日本事情IIB  日本事情IIB,d0720,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,坂元 周作,
一般,必修（留学生）,日本事情III  日本事情III,d0730,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,関口 明生,
一般,必修,国語III  国語III,g0050,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,田嶋 彩香,
一般,必修,現代社会A  現代社会A,g0110,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,小谷 俊博,
一般,必修,現代社会B  現代社会B,g0120,学修単位,2,,,,,,,,,,,2,2,,,,,,,,,小谷 俊博,
一般,必修,英語VA  英語VA,g0230,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,福士 智哉,
一般,必修,英語VB  英語VB,g0240,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,福士 智哉,
一般,必修,ドイツ語IA  ドイツ語IA,g0250,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,柴田 育子,
一般,必修,ドイツ語IB  ドイツ語IB,g0260,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,柴田 育子,
一般,必修,体育IA  体育IA,g0310,履修単位,1,,,,,,,,,2,2,,,,,,,,,,,"坂田 洋満,清野 哲也,田川 浩子",
一般,必修,体育IB  体育IB,g0320,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,"坂田 洋満,篠村 朋樹,清野 哲也,田川 浩子",
一般,必修,線形代数II  線形代数II,g0420,履修単位,1,,,,,,,,,,,2,2,,,,,,,,,関口 昌由,
一般,必修,微分積分II  微分積分II,g0430,履修単位,2,,,,,,,,,4,4,,,,,,,,,,,山下 哲,
