,0,1,2,3,4,5,6
0,学科,開講年次,共通・学科,専門・一般,科目名,単位数,実務経験のある教員名
1,電子制御工学科,本4年,学科,専門,制御工学Ｉ,2,岡本峰基
2,電子制御工学科,本4年,学科,専門,制御工学Ⅱ,2,岡本峰基
3,電子制御工学科,本4年,学科,専門,学外実習,2,泉　源
4,電子制御工学科,本5年,学科,専門,制御機器,2,関口明生
